Verse,I,V,II,I,V,IV,|,I,V,II,I,V,IV,||
Chorus,I,V,I,IV,|,I,V,I,IV,||
Verse,I,V,II,I,V,IV,|,I,V,II,I,V,IV,||
Chorus,I,V,I,IV,|,I,V,I,IV,||
Bridge,V,I,IV,|,V,I,IV,|,V,I,IV,|,V,I,IV,||
Chorus,I,V,I,IV,|,I,V,I,IV,|,I,||
