Verse,I,|,IV,I,|,I,|,IV,I,||
Prechorus,V,IV,I,|,V,IV,I,V,||
Chorus,I,VI,IV,|,I,V,VI,IV,|,I,VI,IV,|,I,V,VI,IV,||
Verse,I,|,IV,I,|,I,|,IV,I,||
Prechorus,V,IV,I,|,V,IV,I,V,||
Chorus,I,VI,IV,|,I,V,VI,IV,|,I,VI,IV,|,I,V,VI,IV,||
Intro,I,VI,IV,|,I,V,VI,IV,|,I,VI,IV,|,I,V,VI,IV,|,IV,I,||
Prechorus,V,IV,I,|,V,IV,I,|,V,IV,I,|,V,IV,I,V,||
Chorus,I,VI,IV,|,I,V,VI,IV,|,I,VI,IV,|,I,V,VI,IV,||
Chorus,I,VI,IV,|,I,V,VI,IV,|,I,VI,IV,|,I,V,VI,IV,||
Outro,I,|,I,|,I,||
