Verse,I,|,I,||
Prechorus,I,IV,I,IV,V,VI,V,|,I,IV,I,IV,V,VI,V,||
Chorus,I,IV,VI,IV,|,I,IV,VI,IV,||
Verse,I,|,I,||
Prechorus,I,IV,I,IV,V,VI,V,|,I,IV,I,IV,V,VI,V,||
Chorus,I,IV,VI,IV,|,I,IV,VI,IV,||
Verse,I,IV,||
Prechorus,I,IV,I,IV,V,VI,V,|,I,IV,I,IV,V,VI,V,||
Chorus,I,IV,VI,IV,|,I,IV,VI,IV,||
Chorus,I,IV,VI,IV,|,I,IV,VI,IV,I,||
