Verse,I,IV,|,I,VI,IV,|,I,IV,|,I,VI,IV,||
Chorus,IV,II,VI,|,IV,V,VI,||
Verse,I,IV,|,I,VI,IV,||
Chorus,IV,II,VI,|,IV,V,VI,||
Chorus,IV,II,VI,I,|,II,V,IV,I,V,VI,||
Bridge,IV,I,V,VI,|,IV,I,V,VI,|,IV,I,V,VI,|,IV,I,V,VI,||
Bridge,IV,I,V,VI,|,IV,I,V,VI,|,IV,I,V,VI,|,IV,I,V,||
